Frameworx Function,Description,Function Identifier,Frameworx Application (containing),Vertical Group,Frameworx Domain,Issue
Voucher Reporting,Voucher Reporting function for querying and reporting of voucher related data,562,Voucher Management,Billing & Revenue Management,Resource Domain,Application Framework 21.0 Modification
Vulnerability Assessment Planning,Vulnerability Assessment Planning function for Assessing networks and systems for vulnerabilities and taking proactive action to reduce the vulnerabilities or limit the impacts if they are exploited.,901,Vulnerability Management,,Enterprise Domain,
Warehouse Inventory Information Recording,"Warehouse Inventory Information Recording records commercial information- such as guarantees and date of purchase and interface to commercial asset management, as part of the Spares & Warehouse Inventory Management",522,Spares & Warehouse Inventory Management,Lifecycle Management,Resource Domain,Application Framework 21.0 Modification
Warehouse Stock Level Projection,Warehouse Stock Level Projection estimates the need and availability of resources in their in-service locations while seeking to minimize stocking levels,481,Resource Logistics,"Assurance
Fulfillment
Readiness & Operations Support",Resource Domain,Application Framework 21.0 Modification
Work Item Decomposition Configuration,Work Item Decomposition Configuration configures which actions to take and in which sequence for Task Work Items of the orchestration request,971,Orchestration Management,,Common Domain,Application Framework 21.0 Modification
Work Item Decomposition,Work Item Decomposition: The Orchestration Manager will know the necessary steps   (workflow items) to be carried through.,970,Orchestration Management,,Common Domain,Application Framework 21.0 Modification
Work Item Execution,Work Item Execution: Task Work Items will be of different nature and need different actions to be carried through. The “Orchestration Manager” needs to have functions to carry through a good variety of work items.,977,Orchestration Management,,Common Domain,Application Framework 21.0 Modification
Work Item Orchestration Instance Lifecycle Management,"Work Item Orchestration Instance Lifecycle Management controls the utilization, versioning and status of configurations related to different orchestration tasks.",972,Orchestration Management,,Common Domain,Application Framework 21.0 Modification
Work Item Policy Control Configuration,"Work Item Policy Control Configuration provides definition and configuration of  the policies, which will be valid during the task work item lifecycle",994,Orchestration Management,,Common Domain,Application Framework 21.0 Modification
Work Item Sequence Control Configuration,"Work Item Sequence Control Configuration creates the control criteria for each work item and sequence, and possible corrective actions and reporting.",974,Orchestration Management,,Common Domain,Application Framework 21.0 Modification
